,id,lat,long,hour,proj,pltGrp,pltPosition,label
954,23999,22.596201,113.812302,19,28,29,0,1
955,24000,22.6535,114.007698,16,9,2,0,1
956,24001,22.58,113.882401,12,21,1,0,1
957,24004,22.525749,113.979263,14,12,57,0,1
958,24005,22.57115,113.927414,17,17,41,0,1
959,24006,22.557182,114.01252,2,9,9,0,1
960,24007,22.5485,114.084198,16,2,87,0,1
961,24008,22.535282,114.055984,11,5,18,0,1
962,24009,22.590218,113.983665,8,12,51,0,1
963,24010,22.598482,114.067734,12,4,53,0,1
964,24012,22.654499,113.914085,19,18,47,0,1
965,24014,22.653151,113.816467,5,27,62,0,1
966,24015,22.588133,113.909569,2,19,95,0,1
967,24016,22.5124,114.044998,14,6,4,0,1
968,24017,22.503767,113.917252,21,18,14,0,1
969,24018,22.5205,113.922897,5,17,62,0,1
970,24019,22.580317,113.817482,12,27,39,0,1
971,24020,22.626534,114.055649,12,5,53,0,1
972,24021,22.552584,113.926537,12,17,1,0,1
973,24022,22.597233,113.940903,2,16,64,0,1
974,24023,22.617599,114.036919,5,7,25,0,1
975,24024,22.536818,113.971382,3,13,88,0,1
976,24025,22.543617,113.991585,15,11,28,0,1
977,24026,22.522083,114.054497,16,5,2,0,1
978,24027,22.61655,114.038734,4,6,23,0,1
979,24028,22.526033,113.81337,21,28,14,0,1
980,24029,22.525867,113.857651,19,24,29,0,1
981,24030,22.500067,113.822914,13,27,67,0,1
982,24031,22.5406,113.949684,21,15,14,0,1
983,24032,22.583549,113.98027,19,12,101,0,1
984,24033,22.520582,113.919746,17,18,41,0,1
985,24035,22.585133,113.914185,16,18,77,0,1
986,24037,22.766899,113.8451,9,25,11,0,1
987,24038,22.5889,113.949097,14,15,57,0,1
988,24039,22.719566,113.9412,19,16,47,0,1
989,24040,22.537518,114.073799,3,3,22,0,1
990,24041,22.546034,113.983818,5,12,25,0,1
991,24042,22.555099,113.9067,10,19,8,0,1
992,24043,22.610849,113.813133,14,28,16,0,1
993,24044,22.572567,114.078499,2,3,9,0,1
994,24045,22.576401,113.910202,9,19,75,0,1
995,24046,22.549133,113.978882,5,12,25,0,1
996,24047,22.560383,113.872803,3,22,38,0,1
997,24048,22.544333,113.907753,22,19,27,0,1
998,24049,22.6071,114.0177,5,8,25,0,1
999,24050,22.5446,113.940697,9,16,75,0,1
1000,24051,22.569201,114.060097,4,4,23,0,1
1001,24052,22.593166,114.047836,4,6,23,0,1
1002,24053,22.523933,114.019302,5,8,25,0,1
1003,24054,22.546284,113.930969,8,17,36,0,1
1004,24055,22.5254,114.063301,9,4,31,0,1
1005,24056,22.568167,113.856148,8,24,36,0,1
1006,24057,22.526199,114.059502,8,4,51,0,1
1007,24058,22.550501,113.978897,13,12,79,0,1
1008,24059,22.590599,113.811302,7,28,78,0,1
1009,24060,22.539101,113.93515,22,16,27,0,1
1010,24061,22.575117,114.067253,17,4,46,0,1
1011,24062,22.5247,113.913483,7,18,50,0,1
1012,24063,22.571301,114.029701,11,7,18,0,1
1013,24064,22.5795,113.909103,14,19,57,0,1
1014,24065,22.56925,114.067467,17,4,46,0,1
1015,24066,22.66445,113.823151,22,27,27,0,1
1016,24067,22.580532,113.811081,3,28,97,0,1
1017,24068,22.677168,113.792252,1,30,-1,0,1
1018,24069,22.5959,113.895897,16,20,5,0,1
1019,24070,22.567301,113.918701,1,18,72,0,1
1020,24071,22.548599,114.076103,14,3,4,0,1
1021,24072,22.595284,113.869751,4,22,-1,0,1
1022,24073,22.547617,114.067131,15,4,28,0,1
1023,24074,22.602432,113.86235,13,23,67,0,1
1024,24075,22.538218,114.024765,19,8,17,0,1
1025,24076,22.576401,113.957603,22,14,27,0,1
1026,24077,22.567383,113.883316,2,21,6,0,1
1027,24078,22.5411,114.050003,15,5,28,0,1
1028,24079,22.5194,113.963501,13,13,79,0,1
1029,24080,22.5453,114.011398,21,9,37,0,1
1030,24081,22.588633,113.879318,2,21,6,0,1
1031,24082,22.664284,113.882584,5,21,62,0,1
1032,24085,22.63405,113.788284,4,30,102,0,1
1033,24086,22.5777,113.811401,14,28,16,0,1
1034,24087,22.676983,113.891068,10,20,8,0,1
1035,24088,22.5861,114.068382,22,4,43,0,1
1036,24089,22.582968,113.876617,22,22,27,0,1
1037,24090,22.6861,113.966667,17,13,41,0,1
1038,24091,22.575367,113.862251,10,23,8,0,1
1039,24092,22.605682,113.889885,1,20,7,0,1
1040,24094,22.627234,113.811852,11,28,34,0,1
1041,24095,22.608101,114.057198,22,5,43,0,1
1042,24096,22.619766,113.836235,16,26,5,0,1
1043,24098,22.6159,113.864197,21,23,14,0,1
1044,24099,22.693233,114.044281,2,6,9,0,1
1045,24102,22.513201,114.041214,22,6,43,0,1
1046,24103,22.603832,113.975349,19,12,101,0,1
1047,24105,22.676701,114.044586,6,6,15,0,1
1048,24106,22.513433,113.931053,9,17,75,0,1
1049,24107,22.530317,113.992386,5,11,25,0,1
1050,24108,22.562733,114.054184,14,5,4,0,1
1051,24109,22.540001,114.04335,5,6,25,0,1
1052,24110,22.531033,113.909897,20,19,44,0,1
1053,24111,22.618784,113.835083,2,26,61,0,1
1054,24112,22.600401,114.043564,19,6,17,0,1
1055,24113,22.582367,113.823364,13,27,67,0,1
1056,24114,22.6127,113.827782,3,26,71,0,1
1057,24115,22.583467,113.86898,3,22,38,0,1
1058,24116,22.591516,113.876984,16,22,5,0,1
1059,24117,22.599751,113.812584,1,28,54,0,1
1060,24118,22.575649,113.832565,22,26,27,0,1
1061,24119,22.608816,113.811035,11,28,34,0,1
1062,24120,22.609833,113.846519,15,25,24,0,1
1063,24121,22.605316,113.858749,1,23,7,0,1
1064,24122,22.783751,113.827637,22,26,27,0,1
1065,24123,22.611532,113.851448,10,24,8,0,1
1066,24124,22.575632,113.881851,23,21,103,0,1
1067,24125,22.626066,113.858185,15,23,24,0,1
1068,24126,22.6478,114.016632,2,8,9,0,1
1069,24127,22.564449,113.890335,22,20,27,0,1
1070,24128,22.700899,113.960899,22,14,27,0,1
1071,24133,22.566401,114.040298,8,6,51,0,1
1072,24134,22.6285,113.927597,16,17,77,0,1
1073,24135,22.546316,114.082565,11,2,18,0,1
1074,24136,22.530634,113.962448,19,14,-1,0,1
1075,24138,22.564667,113.883133,4,21,89,0,1
1076,24139,22.653982,113.96212,15,14,32,0,1
1077,24141,22.540133,114.09272,15,1,28,0,1
1078,24142,22.556017,113.953079,21,14,14,0,1
1079,24143,22.559317,114.100784,20,1,85,0,1
1080,24144,22.5718,114.044083,23,6,-1,0,1
1081,24145,22.5525,113.950066,16,15,104,0,1
1082,24146,22.527149,114.039131,18,6,42,0,1
1083,24147,22.48455,113.931831,1,16,72,0,1
1084,24148,22.589417,113.855064,9,24,11,0,1
1085,24149,22.636084,114.04287,16,6,2,0,1
1086,24150,22.526333,113.915169,22,18,27,0,1
1087,24152,22.535,113.959198,8,14,60,0,1
1088,24153,22.558533,114.031181,10,7,8,0,1
1089,24154,22.584249,113.881485,12,21,1,0,1
1090,24155,22.672167,114.013016,15,9,28,0,1
1091,24156,22.661766,114.031319,17,7,46,0,1
1092,24157,22.647432,113.859764,23,23,-1,0,1
1093,24158,22.536097,113.914284,12,18,1,0,1
1094,24159,22.569883,114.022568,5,8,25,0,1
1095,24160,22.530251,114.052383,2,5,9,0,1
1096,24161,22.621983,114.044083,17,6,46,0,1
1097,24163,22.525433,114.03183,16,7,2,0,1
1098,24164,22.5742,114.043434,21,6,37,0,1
1099,24165,22.504499,113.914932,13,18,79,0,1
1100,24166,22.5434,114.0429,14,6,4,0,1
1101,24167,22.526196,113.923187,10,17,8,0,1
1102,24168,22.7316,114.021103,0,8,3,0,1
1103,24169,22.693283,113.991364,20,11,26,0,1
1104,24170,22.558582,113.990036,12,11,105,0,1
1105,24173,22.770599,113.846153,16,25,5,0,1
1106,24174,22.67345,113.892052,12,20,1,0,1
1107,24175,22.603018,113.950768,8,15,60,0,1
1108,24176,22.551184,114.072784,17,3,46,0,1
1109,24177,22.592667,114.020668,16,8,2,0,1
1110,24178,22.727917,113.835953,10,26,8,0,1
1111,24179,22.529181,113.931854,21,16,14,0,1
1112,24180,22.6527,113.864899,6,23,49,0,1
1113,24181,22.715521,114.043755,15,6,28,0,1
1114,24182,22.811701,113.801903,21,29,14,0,1
1115,24183,22.582199,113.873398,5,22,62,0,1
1116,24184,22.703449,113.813316,19,28,29,0,1
1117,24185,22.691999,113.787804,7,30,-1,0,1
1118,24186,22.7407,114.035797,4,7,23,0,1
1119,24187,22.605417,114.055733,0,5,3,0,1
1120,24188,22.559727,113.946548,16,15,104,0,1
1121,24189,22.583099,113.906898,4,19,89,0,1
1122,24190,22.69735,113.817451,8,27,83,0,1
1123,24191,22.67705,114.009552,17,9,46,0,1
1124,24192,22.565651,113.861534,18,23,-1,0,1
1125,24193,22.6964,113.991898,0,11,106,0,1
1126,24194,22.6278,113.811996,0,28,13,0,1
1127,24196,22.735867,113.795967,14,29,16,0,1
1128,24197,22.673218,113.859703,13,23,67,0,1
1129,24198,22.643417,113.809814,14,28,16,0,1
1130,24199,22.729933,113.82415,19,27,29,0,1
1131,24200,22.611782,114.02858,22,7,43,0,1
1132,24201,22.688032,113.805702,0,28,13,0,1
1133,24202,22.585068,113.893036,9,20,11,0,1
1134,24204,22.565001,114.044296,9,6,31,0,1
1135,24205,22.547121,113.926872,17,17,41,0,1
1136,24206,22.535868,114.064568,4,4,23,0,1
1137,24207,22.569277,113.960144,20,14,26,0,1
1138,24208,22.533016,114.076897,19,3,17,0,1
1139,24209,22.513145,113.923607,21,17,14,0,1
1140,24210,22.540234,114.005966,4,9,12,0,1
1141,24211,22.740793,114.020927,15,8,28,0,1
1142,24215,22.585484,113.884132,19,21,29,0,1
1143,24216,22.583332,113.844551,19,25,29,0,1
1144,24217,22.56575,113.882668,8,21,36,0,1
1145,24218,22.535402,113.91011,17,19,41,0,1
1146,24219,22.6714,113.995003,5,11,25,0,1
1147,24220,22.570351,113.987564,22,11,43,0,1
1148,24221,22.607733,114.036034,17,7,46,0,1
1149,24222,22.674618,113.987053,10,11,8,0,1
1150,24224,22.61105,114.035248,14,7,4,0,1
1151,24225,22.534834,114.002884,15,10,28,0,1
1152,24226,22.72455,113.823715,23,27,91,0,1
1153,24227,22.572433,113.813431,22,28,27,0,1
1154,24228,22.664417,113.99543,22,10,43,0,1
1155,24229,22.671333,113.986801,20,11,26,0,1
1156,24230,22.578768,113.856964,15,24,24,0,1
1157,24231,22.6912,114.033798,22,7,43,0,1
1158,24232,22.569099,113.864304,0,23,13,0,1
1159,24233,22.539066,113.97187,0,13,65,0,1
1160,24234,22.601933,113.827034,22,26,27,0,1
1161,24236,22.580933,113.865219,11,23,55,0,1
1162,24237,22.71557,114.014702,17,9,46,0,1
1163,24238,22.573217,113.832199,21,26,14,0,1
1164,24239,22.603666,113.853165,14,24,16,0,1
1165,24240,22.555166,113.953018,11,14,55,0,1
1166,24241,22.529333,113.926903,11,17,55,0,1
1167,24242,22.604652,114.040726,14,6,4,0,1
1168,24243,22.61035,113.823364,15,27,69,0,1
1169,24244,22.53475,114.078514,15,3,28,0,1
1170,24245,22.657084,114.100166,23,1,107,0,1
1171,24246,22.590183,113.864601,0,23,13,0,1
1172,24247,22.514969,113.908615,9,19,75,0,1
1173,24248,22.730541,113.81826,16,27,86,0,1
